 Fre(Hz),  er,  ei,  ur,  ui
8300000000.0000,2.0255,0.0283,1.0179,0.0202
8302562500.0000,2.0236,0.0267,1.0164,0.0207
8305125000.0000,2.0298,0.0289,1.0208,0.0235
8307687500.0000,2.0268,0.0289,1.0201,0.0191
8310250000.0000,2.0241,0.0289,1.0174,0.0219
8312812500.0000,2.0266,0.0307,1.0169,0.0207
8315375000.0000,2.0253,0.0302,1.0155,0.0178
8317937500.0000,2.0267,0.0277,1.0201,0.0250
8320500000.0000,2.0269,0.0286,1.0218,0.0228
8323062500.0000,2.0234,0.0282,1.0200,0.0267
8325625000.0000,2.0251,0.0279,1.0230,0.0232
8328187500.0000,2.0250,0.0289,1.0187,0.0244
8330750000.0000,2.0272,0.0297,1.0193,0.0162
8333312500.0000,2.0288,0.0259,1.0403,0.0208
8335875000.0000,2.0257,0.0293,1.0175,0.0200
8338437500.0000,2.0225,0.0266,1.0228,0.0218
8341000000.0000,2.0251,0.0287,1.0189,0.0171
8343562500.0000,2.0225,0.0293,1.0196,0.0235
8346125000.0000,2.0246,0.0295,1.0181,0.0232
8348687500.0000,2.0265,0.0296,1.0175,0.0187
8351250000.0000,2.0277,0.0298,1.0208,0.0195
8353812500.0000,2.0241,0.0305,1.0199,0.0202
8356375000.0000,2.0209,0.0311,1.0174,0.0187
8358937500.0000,2.0250,0.0277,1.0167,0.0135
8361500000.0000,2.0244,0.0277,1.0187,0.0219
8364062500.0000,2.0234,0.0278,1.0182,0.0189
8366625000.0000,2.0246,0.0290,1.0193,0.0187
8369187500.0000,2.0211,0.0311,1.0180,0.0205
8371750000.0000,2.0201,0.0301,1.0155,0.0195
8374312500.0000,2.0270,0.0296,1.0187,0.0227
8376875000.0000,2.0272,0.0276,1.0171,0.0231
8379437500.0000,2.0245,0.0262,1.0153,0.0204
8382000000.0000,2.0247,0.0287,1.0200,0.0206
8384562500.0000,2.0218,0.0300,1.0153,0.0161
8387125000.0000,2.0257,0.0313,1.0210,0.0162
8389687500.0000,2.0271,0.0297,1.0210,0.0216
8392250000.0000,2.0263,0.0293,1.0176,0.0144
8394812500.0000,2.0256,0.0298,1.0172,0.0190
8397375000.0000,2.0260,0.0290,1.0196,0.0183
