f(GHz)	  e'	  e"	  u'	  u"	tan_e	tan_u	  RL	RL_med	 Zin	 S11	 S21	   A	   R	   T	 SEt	 SEr	 SEa	SEmr
8.20	0.01	0.00	0.01	0.00	0.06	0.06	-0.01	-0.32	0.04	1.00	0.01	0.00	1.00	0.00	43.64	27.96	15.90	-0.23
8.21	0.01	0.00	0.01	0.00	0.06	0.06	-0.01	-0.32	0.04	1.00	0.01	0.00	1.00	0.00	43.56	27.90	15.89	-0.23
8.22	0.01	0.00	0.01	0.00	0.06	0.06	-0.01	-0.32	0.04	1.00	0.01	0.00	1.00	0.00	43.49	27.84	15.88	-0.23
8.23	0.01	0.00	0.01	0.00	0.06	0.06	-0.01	-0.32	0.04	1.00	0.01	0.00	1.00	0.00	43.42	27.77	15.87	-0.23
8.24	0.01	0.00	0.01	0.00	0.06	0.06	-0.01	-0.32	0.04	1.00	0.01	0.00	1.00	0.00	43.34	27.71	15.86	-0.23
8.25	0.01	0.00	0.01	0.00	0.06	0.06	-0.01	-0.32	0.04	1.00	0.01	0.00	1.00	0.00	43.27	27.65	15.85	-0.23
8.26	0.01	0.00	0.01	0.00	0.06	0.06	-0.01	-0.32	0.04	1.00	0.01	0.00	1.00	0.00	43.20	27.58	15.84	-0.23
8.27	0.01	0.00	0.01	0.00	0.06	0.06	-0.01	-0.32	0.04	1.00	0.01	0.00	1.00	0.00	43.12	27.52	15.84	-0.23
8.28	0.01	0.00	0.01	0.00	0.06	0.06	-0.01	-0.32	0.04	1.00	0.01	0.00	1.00	0.00	43.05	27.45	15.83	-0.23
8.29	0.01	0.00	0.01	0.00	0.06	0.06	-0.01	-0.32	0.04	1.00	0.01	0.00	1.00	0.00	42.98	27.39	15.82	-0.23
8.30	0.01	0.00	0.01	0.00	0.06	0.06	-0.02	-0.32	0.04	1.00	0.01	0.00	1.00	0.00	42.90	27.32	15.81	-0.23
8.31	0.01	0.00	0.01	0.00	0.06	0.06	-0.02	-0.32	0.04	1.00	0.01	0.00	1.00	0.00	42.83	27.26	15.80	-0.23
8.32	0.01	0.00	0.01	0.00	0.06	0.06	-0.02	-0.32	0.04	1.00	0.01	0.00	1.00	0.00	42.75	27.19	15.79	-0.23
8.33	0.01	0.00	0.01	0.00	0.06	0.06	-0.02	-0.32	0.04	1.00	0.01	0.00	1.00	0.00	42.68	27.13	15.79	-0.23
8.34	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.05	1.00	0.01	0.00	1.00	0.00	42.60	27.06	15.78	-0.23
8.35	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.05	1.00	0.01	0.00	1.00	0.00	42.53	26.99	15.77	-0.23
8.36	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.05	1.00	0.01	0.00	1.00	0.00	42.46	26.93	15.76	-0.23
8.37	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.05	1.00	0.01	0.00	1.00	0.00	42.38	26.86	15.75	-0.23
8.38	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.05	1.00	0.01	0.00	1.00	0.00	42.30	26.79	15.74	-0.23
8.39	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.05	1.00	0.01	0.00	1.00	0.00	42.23	26.73	15.74	-0.23
8.40	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.05	1.00	0.01	0.00	1.00	0.00	42.15	26.66	15.73	-0.23
8.41	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.05	1.00	0.01	0.00	1.00	0.00	42.08	26.59	15.72	-0.24
8.42	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.05	1.00	0.01	0.00	1.00	0.00	42.00	26.52	15.71	-0.24
8.43	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.05	1.00	0.01	0.00	1.00	0.00	41.93	26.46	15.71	-0.24
8.44	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.05	1.00	0.01	0.00	1.00	0.00	41.85	26.39	15.70	-0.24
8.45	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.05	1.00	0.01	0.00	1.00	0.00	41.77	26.32	15.69	-0.24
8.46	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.05	1.00	0.01	0.00	1.00	0.00	41.70	26.25	15.68	-0.24
8.47	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.05	1.00	0.01	0.00	1.00	0.00	41.62	26.18	15.68	-0.24
