f(GHz)	  e'	  e"	  u'	  u"	tan_e	tan_u	  RL	RL_med	 Zin	 S11	 S21	   A	   R	   T	 SEt	 SEr	 SEa	SEmr
8.20	0.08	0.00	0.08	0.00	0.06	0.06	-0.13	-3.20	0.38	0.99	0.06	0.02	0.98	0.00	22.00	17.11	6.85	-1.96
8.21	0.08	0.00	0.08	0.00	0.06	0.06	-0.13	-3.20	0.39	0.99	0.06	0.02	0.98	0.00	21.92	17.04	6.85	-1.97
8.22	0.08	0.00	0.08	0.00	0.06	0.06	-0.13	-3.20	0.39	0.99	0.06	0.02	0.98	0.00	21.85	16.98	6.84	-1.97
8.23	0.08	0.00	0.08	0.00	0.06	0.06	-0.14	-3.20	0.40	0.99	0.06	0.02	0.98	0.00	21.77	16.91	6.83	-1.97
8.24	0.08	0.00	0.08	0.00	0.06	0.06	-0.14	-3.20	0.40	0.99	0.07	0.02	0.98	0.00	21.70	16.85	6.83	-1.98
8.25	0.08	0.00	0.08	0.00	0.06	0.06	-0.14	-3.20	0.41	0.99	0.07	0.02	0.98	0.00	21.62	16.78	6.82	-1.98
8.26	0.08	0.00	0.08	0.00	0.06	0.06	-0.14	-3.20	0.41	0.99	0.07	0.02	0.98	0.00	21.55	16.72	6.81	-1.98
8.27	0.08	0.00	0.08	0.00	0.06	0.06	-0.14	-3.20	0.42	0.99	0.07	0.02	0.98	0.00	21.47	16.65	6.80	-1.98
8.28	0.08	0.00	0.08	0.00	0.06	0.06	-0.14	-3.20	0.42	0.99	0.07	0.02	0.98	0.00	21.40	16.59	6.80	-1.99
8.29	0.08	0.00	0.08	0.00	0.06	0.06	-0.15	-3.20	0.43	0.99	0.07	0.02	0.98	0.00	21.32	16.52	6.79	-1.99
8.30	0.08	0.01	0.08	0.01	0.06	0.06	-0.15	-3.20	0.44	0.99	0.07	0.02	0.98	0.00	21.25	16.45	6.78	-1.99
8.31	0.08	0.01	0.08	0.01	0.06	0.06	-0.15	-3.20	0.44	0.99	0.07	0.02	0.98	0.00	21.17	16.39	6.78	-1.99
8.32	0.08	0.01	0.08	0.01	0.06	0.06	-0.15	-3.20	0.45	0.99	0.07	0.02	0.98	0.00	21.10	16.32	6.77	-2.00
8.33	0.08	0.01	0.08	0.01	0.06	0.06	-0.15	-3.20	0.45	0.99	0.07	0.02	0.98	0.00	21.02	16.25	6.77	-2.00
8.34	0.08	0.01	0.08	0.01	0.07	0.07	-0.16	-3.20	0.46	0.99	0.07	0.02	0.98	0.01	20.94	16.19	6.76	-2.00
8.35	0.08	0.01	0.08	0.01	0.07	0.07	-0.16	-3.20	0.47	0.99	0.07	0.02	0.98	0.01	20.87	16.12	6.75	-2.00
8.36	0.08	0.01	0.08	0.01	0.07	0.07	-0.16	-3.20	0.47	0.99	0.07	0.02	0.98	0.01	20.79	16.05	6.75	-2.01
8.37	0.08	0.01	0.08	0.01	0.07	0.07	-0.16	-3.20	0.48	0.99	0.07	0.02	0.97	0.01	20.72	15.98	6.74	-2.01
8.38	0.08	0.01	0.08	0.01	0.07	0.07	-0.16	-3.20	0.48	0.99	0.07	0.02	0.97	0.01	20.64	15.92	6.73	-2.01
8.39	0.08	0.01	0.08	0.01	0.07	0.07	-0.17	-3.20	0.49	0.99	0.07	0.02	0.97	0.01	20.56	15.85	6.73	-2.01
8.40	0.08	0.01	0.08	0.01	0.07	0.07	-0.17	-3.20	0.50	0.99	0.07	0.02	0.97	0.01	20.49	15.78	6.72	-2.02
8.41	0.08	0.01	0.08	0.01	0.07	0.07	-0.17	-3.20	0.51	0.99	0.08	0.02	0.97	0.01	20.41	15.71	6.72	-2.02
8.42	0.08	0.01	0.08	0.01	0.07	0.07	-0.17	-3.20	0.51	0.99	0.08	0.02	0.97	0.01	20.33	15.64	6.71	-2.02
8.43	0.09	0.01	0.09	0.01	0.07	0.07	-0.18	-3.20	0.52	0.99	0.08	0.02	0.97	0.01	20.26	15.57	6.71	-2.02
8.44	0.09	0.01	0.09	0.01	0.07	0.07	-0.18	-3.20	0.53	0.99	0.08	0.02	0.97	0.01	20.18	15.50	6.70	-2.02
8.45	0.09	0.01	0.09	0.01	0.07	0.07	-0.18	-3.20	0.53	0.99	0.08	0.02	0.97	0.01	20.10	15.43	6.69	-2.03
8.46	0.09	0.01	0.09	0.01	0.07	0.07	-0.18	-3.20	0.54	0.99	0.08	0.02	0.97	0.01	20.02	15.36	6.69	-2.03
8.47	0.09	0.01	0.09	0.01	0.07	0.07	-0.19	-3.20	0.55	0.99	0.08	0.02	0.97	0.01	19.95	15.29	6.68	-2.03
8.48	0.09	0.01	0.09	0.01	0.07	0.07	-0.19	-3.20	0.56	0.98	0.08	0.02	0.97	0.01	19.87	15.22	6.68	-2.03
8.49	0.09	0.01	0.09	0.01	0.07	0.07	-0.19	-3.20	0.57	0.98	0.08	0.02	0.97	0.01	19.79	15.15	6.67	-2.03
8.50	0.09	0.01	0.09	0.01	0.07	0.07	-0.20	-3.20	0.58	0.98	0.08	0.02	0.97	0.01	19.71	15.08	6.67	-2.03
8.51	0.09	0.01	0.09	0.01	0.07	0.07	-0.20	-3.20	0.58	0.98	0.08	0.02	0.97	0.01	19.63	15.01	6.66	-2.04
8.52	0.09	0.01	0.09	0.01	0.07	0.07	-0.20	-3.20	0.59	0.98	0.08	0.03	0.97	0.01	19.55	14.94	6.66	-2.04
8.53	0.09	0.01	0.09	0.01	0.07	0.07	-0.20	-3.20	0.60	0.98	0.08	0.03	0.97	0.01	19.48	14.86	6.65	-2.04
8.54	0.09	0.01	0.09	0.01	0.07	0.07	-0.21	-3.20	0.61	0.98	0.08	0.03	0.97	0.01	19.40	14.79	6.65	-2.04
8.55	0.09	0.01	0.09	0.01	0.08	0.08	-0.21	-3.20	0.62	0.98	0.09	0.03	0.97	0.01	19.32	14.72	6.64	-2.04
8.56	0.09	0.01	0.09	0.01	0.08	0.08	-0.21	-3.20	0.63	0.98	0.09	0.03	0.97	0.01	19.24	14.65	6.64	-2.04
8.57	0.09	0.01	0.09	0.01	0.08	0.08	-0.22	-3.20	0.64	0.98	0.09	0.03	0.97	0.01	19.16	14.57	6.63	-2.04
8.58	0.09	0.01	0.09	0.01	0.08	0.08	-0.22	-3.20	0.65	0.98	0.09	0.03	0.96	0.01	19.08	14.50	6.63	-2.05
8.59	0.09	0.01	0.09	0.01	0.08	0.08	-0.22	-3.20	0.66	0.98	0.09	0.03	0.96	0.01	19.00	14.42	6.62	-2.05
8.60	0.09	0.01	0.09	0.01	0.08	0.08	-0.23	-3.20	0.67	0.98	0.09	0.03	0.96	0.01	18.92	14.35	6.62	-2.05
8.61	0.10	0.01	0.10	0.01	0.08	0.08	-0.23	-3.20	0.68	0.98	0.09	0.03	0.96	0.01	18.84	14.28	6.61	-2.05
8.62	0.10	0.01	0.10	0.01	0.08	0.08	-0.23	-3.20	0.69	0.98	0.09	0.03	0.96	0.01	18.76	14.20	6.61	-2.05
8.63	0.10	0.01	0.10	0.01	0.08	0.08	-0.24	-3.20	0.70	0.98	0.09	0.03	0.96	0.01	18.68	14.13	6.60	-2.05
8.64	0.10	0.01	0.10	0.01	0.08	0.08	-0.24	-3.20	0.71	0.98	0.09	0.03	0.96	0.01	18.59	14.05	6.60	-2.05
8.65	0.10	0.01	0.10	0.01	0.08	0.08	-0.24	-3.20	0.73	0.98	0.09	0.03	0.96	0.01	18.51	13.97	6.59	-2.05
8.66	0.10	0.01	0.10	0.01	0.08	0.08	-0.25	-3.20	0.74	0.98	0.09	0.03	0.96	0.01	18.43	13.90	6.59	-2.05
8.67	0.10	0.01	0.10	0.01	0.08	0.08	-0.25	-3.20	0.75	0.98	0.10	0.03	0.96	0.01	18.35	13.82	6.58	-2.05
8.68	0.10	0.01	0.10	0.01	0.08	0.08	-0.26	-3.20	0.76	0.98	0.10	0.03	0.96	0.01	18.27	13.74	6.58	-2.05
8.69	0.10	0.01	0.10	0.01	0.08	0.08	-0.26	-3.20	0.78	0.98	0.10	0.03	0.96	0.01	18.18	13.66	6.57	-2.05
8.70	0.10	0.01	0.10	0.01	0.08	0.08	-0.27	-3.20	0.79	0.98	0.10	0.03	0.96	0.01	18.10	13.59	6.57	-2.05
8.71	0.10	0.01	0.10	0.01	0.09	0.09	-0.27	-3.20	0.80	0.98	0.10	0.03	0.96	0.01	18.02	13.51	6.57	-2.05
8.72	0.10	0.01	0.10	0.01	0.09	0.09	-0.27	-3.20	0.82	0.98	0.10	0.04	0.95	0.01	17.94	13.43	6.56	-2.06
8.73	0.10	0.01	0.10	0.01	0.09	0.09	-0.28	-3.20	0.83	0.98	0.10	0.04	0.95	0.01	17.85	13.35	6.56	-2.06
8.74	0.10	0.01	0.10	0.01	0.09	0.09	-0.28	-3.20	0.84	0.98	0.10	0.04	0.95	0.01	17.77	13.27	6.55	-2.06
8.75	0.10	0.01	0.10	0.01	0.09	0.09	-0.29	-3.20	0.86	0.98	0.10	0.04	0.95	0.01	17.68	13.19	6.55	-2.06
8.76	0.11	0.01	0.11	0.01	0.09	0.09	-0.29	-3.20	0.87	0.98	0.10	0.04	0.95	0.01	17.60	13.11	6.55	-2.06
8.77	0.11	0.01	0.11	0.01	0.09	0.09	-0.30	-3.20	0.89	0.97	0.11	0.04	0.95	0.01	17.51	13.03	6.54	-2.06
8.78	0.11	0.01	0.11	0.01	0.09	0.09	-0.30	-3.20	0.91	0.97	0.11	0.04	0.95	0.01	17.43	12.95	6.54	-2.06
8.79	0.11	0.01	0.11	0.01	0.09	0.09	-0.31	-3.20	0.92	0.97	0.11	0.04	0.95	0.01	17.34	12.86	6.53	-2.05
8.80	0.11	0.01	0.11	0.01	0.09	0.09	-0.31	-3.20	0.94	0.97	0.11	0.04	0.95	0.01	17.26	12.78	6.53	-2.05
8.81	0.11	0.01	0.11	0.01	0.09	0.09	-0.32	-3.20	0.96	0.97	0.11	0.04	0.95	0.01	17.17	12.70	6.53	-2.05
8.82	0.11	0.01	0.11	0.01	0.09	0.09	-0.33	-3.20	0.97	0.97	0.11	0.04	0.95	0.01	17.09	12.62	6.52	-2.05
8.83	0.11	0.01	0.11	0.01	0.09	0.09	-0.33	-3.20	0.99	0.97	0.11	0.04	0.94	0.01	17.00	12.53	6.52	-2.05
8.84	0.11	0.01	0.11	0.01	0.10	0.10	-0.34	-3.20	1.01	0.97	0.11	0.04	0.94	0.01	16.91	12.45	6.52	-2.05
8.85	0.11	0.01	0.11	0.01	0.10	0.10	-0.34	-3.20	1.03	0.97	0.11	0.05	0.94	0.01	16.82	12.36	6.51	-2.05
8.86	0.11	0.01	0.11	0.01	0.10	0.10	-0.35	-3.20	1.05	0.97	0.12	0.05	0.94	0.01	16.74	12.28	6.51	-2.05
8.87	0.11	0.01	0.11	0.01	0.10	0.10	-0.36	-3.20	1.07	0.97	0.12	0.05	0.94	0.01	16.65	12.19	6.51	-2.05
8.88	0.12	0.01	0.12	0.01	0.10	0.10	-0.36	-3.20	1.09	0.97	0.12	0.05	0.94	0.01	16.56	12.10	6.50	-2.05
8.89	0.12	0.01	0.12	0.01	0.10	0.10	-0.37	-3.20	1.11	0.97	0.12	0.05	0.94	0.01	16.47	12.02	6.50	-2.05
8.90	0.12	0.01	0.12	0.01	0.10	0.10	-0.38	-3.20	1.14	0.97	0.12	0.05	0.94	0.01	16.38	11.93	6.50	-2.04
8.91	0.12	0.01	0.12	0.01	0.10	0.10	-0.38	-3.20	1.16	0.97	0.12	0.05	0.93	0.01	16.29	11.84	6.49	-2.04
8.92	0.12	0.01	0.12	0.01	0.10	0.10	-0.39	-3.20	1.18	0.97	0.12	0.05	0.93	0.01	16.20	11.75	6.49	-2.04
8.93	0.12	0.01	0.12	0.01	0.10	0.10	-0.40	-3.20	1.21	0.97	0.12	0.05	0.93	0.02	16.11	11.66	6.49	-2.04
8.94	0.12	0.01	0.12	0.01	0.11	0.11	-0.41	-3.20	1.23	0.96	0.13	0.05	0.93	0.02	16.02	11.57	6.48	-2.04
8.95	0.12	0.01	0.12	0.01	0.11	0.11	-0.42	-3.20	1.26	0.96	0.13	0.06	0.93	0.02	15.93	11.48	6.48	-2.03
8.96	0.12	0.01	0.12	0.01	0.11	0.11	-0.42	-3.20	1.28	0.96	0.13	0.06	0.93	0.02	15.84	11.39	6.48	-2.03
8.97	0.12	0.01	0.12	0.01	0.11	0.11	-0.43	-3.20	1.31	0.96	0.13	0.06	0.93	0.02	15.74	11.30	6.48	-2.03
8.98	0.13	0.01	0.13	0.01	0.11	0.11	-0.44	-3.20	1.34	0.96	0.13	0.06	0.92	0.02	15.65	11.21	6.47	-2.03
8.99	0.13	0.01	0.13	0.01	0.11	0.11	-0.45	-3.20	1.37	0.96	0.13	0.06	0.92	0.02	15.56	11.11	6.47	-2.02
9.00	0.13	0.01	0.13	0.01	0.11	0.11	-0.46	-3.20	1.40	0.96	0.13	0.06	0.92	0.02	15.47	11.02	6.47	-2.02
9.01	0.13	0.01	0.13	0.01	0.11	0.11	-0.47	-3.20	1.43	0.96	0.14	0.06	0.92	0.02	15.37	10.92	6.47	-2.02
9.02	0.13	0.01	0.13	0.01	0.11	0.11	-0.48	-3.20	1.46	0.96	0.14	0.06	0.92	0.02	15.28	10.83	6.47	-2.01
9.03	0.13	0.02	0.13	0.02	0.12	0.12	-0.49	-3.20	1.50	0.96	0.14	0.07	0.92	0.02	15.18	10.73	6.46	-2.01
9.04	0.13	0.02	0.13	0.02	0.12	0.12	-0.50	-3.20	1.53	0.96	0.14	0.07	0.91	0.02	15.09	10.63	6.46	-2.01
9.05	0.13	0.02	0.13	0.02	0.12	0.12	-0.51	-3.20	1.57	0.95	0.14	0.07	0.91	0.02	14.99	10.54	6.46	-2.00
9.06	0.14	0.02	0.14	0.02	0.12	0.12	-0.52	-3.20	1.60	0.95	0.14	0.07	0.91	0.02	14.90	10.44	6.46	-2.00
9.07	0.14	0.02	0.14	0.02	0.12	0.12	-0.53	-3.20	1.64	0.95	0.14	0.07	0.91	0.02	14.80	10.34	6.46	-2.00
9.08	0.14	0.02	0.14	0.02	0.12	0.12	-0.55	-3.20	1.68	0.95	0.15	0.07	0.91	0.02	14.70	10.24	6.45	-1.99
9.09	0.14	0.02	0.14	0.02	0.12	0.12	-0.56	-3.20	1.72	0.95	0.15	0.07	0.90	0.02	14.61	10.14	6.45	-1.99
9.10	0.14	0.02	0.14	0.02	0.12	0.12	-0.57	-3.20	1.76	0.95	0.15	0.08	0.90	0.02	14.51	10.04	6.45	-1.98
9.11	0.14	0.02	0.14	0.02	0.13	0.13	-0.58	-3.20	1.81	0.95	0.15	0.08	0.90	0.02	14.41	9.93	6.45	-1.98
9.12	0.14	0.02	0.14	0.02	0.13	0.13	-0.60	-3.20	1.85	0.95	0.15	0.08	0.90	0.02	14.31	9.83	6.45	-1.97
9.13	0.15	0.02	0.15	0.02	0.13	0.13	-0.61	-3.20	1.90	0.95	0.16	0.08	0.89	0.02	14.21	9.73	6.45	-1.96
9.14	0.15	0.02	0.15	0.02	0.13	0.13	-0.63	-3.20	1.95	0.94	0.16	0.08	0.89	0.02	14.11	9.62	6.45	-1.96
9.15	0.15	0.02	0.15	0.02	0.13	0.13	-0.64	-3.20	2.00	0.94	0.16	0.09	0.89	0.03	14.01	9.52	6.45	-1.95
9.16	0.15	0.02	0.15	0.02	0.13	0.13	-0.66	-3.20	2.05	0.94	0.16	0.09	0.89	0.03	13.91	9.41	6.45	-1.95
9.17	0.15	0.02	0.15	0.02	0.14	0.14	-0.67	-3.20	2.10	0.94	0.16	0.09	0.88	0.03	13.81	9.30	6.45	-1.94
9.18	0.15	0.02	0.15	0.02	0.14	0.14	-0.69	-3.20	2.16	0.94	0.17	0.09	0.88	0.03	13.71	9.19	6.45	-1.93
9.19	0.16	0.02	0.16	0.02	0.14	0.14	-0.71	-3.20	2.22	0.94	0.17	0.10	0.88	0.03	13.61	9.08	6.45	-1.92
9.20	0.16	0.02	0.16	0.02	0.14	0.14	-0.73	-3.20	2.28	0.93	0.17	0.10	0.87	0.03	13.50	8.97	6.45	-1.92
9.21	0.16	0.02	0.16	0.02	0.14	0.14	-0.74	-3.20	2.34	0.93	0.17	0.10	0.87	0.03	13.40	8.86	6.45	-1.91
9.22	0.16	0.02	0.16	0.02	0.14	0.14	-0.76	-3.20	2.41	0.93	0.17	0.10	0.87	0.03	13.30	8.75	6.45	-1.90
9.23	0.16	0.02	0.16	0.02	0.15	0.15	-0.78	-3.20	2.48	0.93	0.18	0.11	0.86	0.03	13.19	8.63	6.45	-1.89
9.24	0.16	0.02	0.16	0.02	0.15	0.15	-0.80	-3.20	2.55	0.93	0.18	0.11	0.86	0.03	13.09	8.52	6.45	-1.88
9.25	0.17	0.03	0.17	0.03	0.15	0.15	-0.83	-3.20	2.63	0.92	0.18	0.11	0.86	0.03	12.98	8.40	6.45	-1.87
9.26	0.17	0.03	0.17	0.03	0.15	0.15	-0.85	-3.20	2.71	0.92	0.18	0.11	0.85	0.03	12.88	8.29	6.45	-1.86
9.27	0.17	0.03	0.17	0.03	0.16	0.16	-0.87	-3.20	2.79	0.92	0.19	0.12	0.85	0.03	12.77	8.17	6.45	-1.85
9.28	0.17	0.03	0.17	0.03	0.16	0.16	-0.90	-3.20	2.88	0.92	0.19	0.12	0.84	0.04	12.67	8.05	6.45	-1.84
9.29	0.17	0.03	0.17	0.03	0.16	0.16	-0.92	-3.20	2.97	0.92	0.19	0.12	0.84	0.04	12.56	7.93	6.46	-1.83
9.30	0.18	0.03	0.18	0.03	0.16	0.16	-0.95	-3.20	3.06	0.91	0.19	0.13	0.83	0.04	12.45	7.81	6.46	-1.81
9.31	0.18	0.03	0.18	0.03	0.16	0.16	-0.98	-3.20	3.16	0.91	0.20	0.13	0.83	0.04	12.35	7.69	6.46	-1.80
9.32	0.18	0.03	0.18	0.03	0.17	0.17	-1.00	-3.20	3.27	0.91	0.20	0.14	0.82	0.04	12.24	7.56	6.46	-1.79
9.33	0.18	0.03	0.18	0.03	0.17	0.17	-1.03	-3.20	3.37	0.91	0.20	0.14	0.82	0.04	12.13	7.44	6.47	-1.78
9.34	0.19	0.03	0.19	0.03	0.17	0.17	-1.07	-3.20	3.49	0.90	0.20	0.14	0.81	0.04	12.02	7.31	6.47	-1.76
9.35	0.19	0.03	0.19	0.03	0.17	0.17	-1.10	-3.20	3.61	0.90	0.21	0.15	0.81	0.04	11.91	7.18	6.48	-1.75
9.36	0.19	0.03	0.19	0.03	0.18	0.18	-1.13	-3.20	3.74	0.90	0.21	0.15	0.80	0.04	11.81	7.06	6.48	-1.73
9.37	0.19	0.04	0.19	0.04	0.18	0.18	-1.17	-3.20	3.87	0.89	0.21	0.16	0.80	0.05	11.70	6.93	6.49	-1.71
9.38	0.20	0.04	0.20	0.04	0.18	0.18	-1.21	-3.20	4.01	0.89	0.22	0.16	0.79	0.05	11.59	6.79	6.49	-1.70
9.39	0.20	0.04	0.20	0.04	0.19	0.19	-1.25	-3.20	4.16	0.89	0.22	0.17	0.78	0.05	11.48	6.66	6.50	-1.68
9.40	0.20	0.04	0.20	0.04	0.19	0.19	-1.29	-3.20	4.32	0.88	0.22	0.17	0.78	0.05	11.37	6.53	6.50	-1.66
9.41	0.21	0.04	0.21	0.04	0.19	0.19	-1.33	-3.20	4.49	0.88	0.23	0.18	0.77	0.05	11.26	6.39	6.51	-1.64
9.42	0.21	0.04	0.21	0.04	0.20	0.20	-1.37	-3.20	4.66	0.87	0.23	0.18	0.76	0.05	11.15	6.26	6.52	-1.62
9.43	0.21	0.04	0.21	0.04	0.20	0.20	-1.42	-3.20	4.85	0.87	0.23	0.19	0.76	0.05	11.05	6.12	6.53	-1.60
9.44	0.22	0.04	0.22	0.04	0.20	0.20	-1.47	-3.20	5.05	0.86	0.24	0.20	0.75	0.06	10.94	5.98	6.53	-1.58
9.45	0.22	0.05	0.22	0.05	0.21	0.21	-1.52	-3.20	5.26	0.86	0.24	0.20	0.74	0.06	10.83	5.84	6.54	-1.55
9.46	0.22	0.05	0.22	0.05	0.21	0.21	-1.58	-3.20	5.48	0.85	0.24	0.21	0.73	0.06	10.72	5.70	6.55	-1.53
9.47	0.23	0.05	0.23	0.05	0.21	0.21	-1.64	-3.20	5.72	0.85	0.25	0.22	0.72	0.06	10.61	5.55	6.57	-1.51
9.48	0.23	0.05	0.23	0.05	0.22	0.22	-1.70	-3.20	5.98	0.84	0.25	0.22	0.71	0.06	10.51	5.41	6.58	-1.48
9.49	0.23	0.05	0.23	0.05	0.22	0.22	-1.76	-3.20	6.25	0.84	0.26	0.23	0.70	0.07	10.40	5.26	6.59	-1.45
9.50	0.24	0.05	0.24	0.05	0.23	0.23	-1.83	-3.20	6.54	0.83	0.26	0.24	0.69	0.07	10.30	5.12	6.61	-1.42
9.51	0.24	0.06	0.24	0.06	0.23	0.23	-1.90	-3.20	6.85	0.83	0.26	0.25	0.68	0.07	10.19	4.97	6.62	-1.40
9.52	0.25	0.06	0.25	0.06	0.24	0.24	-1.98	-3.20	7.18	0.82	0.27	0.26	0.67	0.07	10.09	4.82	6.64	-1.36
9.53	0.25	0.06	0.25	0.06	0.24	0.24	-2.06	-3.20	7.54	0.81	0.27	0.27	0.66	0.07	9.99	4.67	6.66	-1.33
9.54	0.26	0.06	0.26	0.06	0.25	0.25	-2.14	-3.20	7.93	0.80	0.28	0.28	0.65	0.08	9.89	4.52	6.67	-1.30
9.55	0.26	0.07	0.26	0.07	0.25	0.25	-2.24	-3.20	8.34	0.80	0.28	0.29	0.63	0.08	9.79	4.36	6.70	-1.27
9.56	0.26	0.07	0.26	0.07	0.26	0.26	-2.33	-3.20	8.79	0.79	0.28	0.30	0.62	0.08	9.70	4.21	6.72	-1.23
9.57	0.27	0.07	0.27	0.07	0.26	0.26	-2.43	-3.20	9.27	0.78	0.29	0.31	0.61	0.08	9.60	4.05	6.74	-1.19
9.58	0.28	0.07	0.28	0.07	0.27	0.27	-2.54	-3.20	9.80	0.77	0.29	0.32	0.59	0.09	9.51	3.90	6.77	-1.16
9.59	0.28	0.08	0.28	0.08	0.28	0.28	-2.66	-3.20	10.37	0.76	0.30	0.33	0.58	0.09	9.43	3.74	6.80	-1.12
9.60	0.29	0.08	0.29	0.08	0.28	0.28	-2.78	-3.20	10.99	0.75	0.30	0.35	0.56	0.09	9.34	3.59	6.83	-1.08
9.61	0.29	0.09	0.29	0.09	0.29	0.29	-2.91	-3.20	11.66	0.74	0.31	0.36	0.55	0.09	9.26	3.43	6.87	-1.03
9.62	0.30	0.09	0.30	0.09	0.30	0.30	-3.06	-3.20	12.40	0.73	0.31	0.37	0.53	0.10	9.19	3.27	6.91	-0.99
9.63	0.30	0.09	0.30	0.09	0.31	0.31	-3.21	-3.20	13.20	0.72	0.31	0.39	0.51	0.10	9.11	3.12	6.95	-0.95
9.64	0.31	0.10	0.31	0.10	0.32	0.32	-3.37	-3.20	14.08	0.70	0.32	0.40	0.49	0.10	9.05	2.96	6.99	-0.90
9.65	0.32	0.10	0.32	0.10	0.32	0.32	-3.54	-3.20	15.04	0.69	0.32	0.42	0.48	0.10	8.99	2.80	7.04	-0.86
9.66	0.32	0.11	0.32	0.11	0.33	0.33	-3.73	-3.20	16.10	0.68	0.33	0.44	0.46	0.11	8.93	2.65	7.10	-0.81
9.67	0.33	0.11	0.33	0.11	0.34	0.34	-3.93	-3.20	17.26	0.66	0.33	0.45	0.44	0.11	8.89	2.49	7.16	-0.76
9.68	0.34	0.12	0.34	0.12	0.35	0.35	-4.15	-3.20	18.54	0.65	0.33	0.47	0.42	0.11	8.85	2.34	7.22	-0.71
9.69	0.35	0.13	0.35	0.13	0.37	0.37	-4.39	-3.20	19.95	0.63	0.34	0.49	0.40	0.11	8.82	2.19	7.30	-0.67
