data,new_cases,new_deaths
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,1,0
58,0,0
59,0,0
60,0,0
61,1,0
62,0,0
63,0,0
64,0,0
65,1,0
66,5,0
67,5,0
68,0,0
69,12,0
70,0,0
71,9,0
72,18,0
73,25,0
74,21,0
75,23,0
76,79,0
77,34,0
78,57,1
79,137,3
80,193,2
81,283,5
82,224,7
83,418,7
84,345,9
85,310,12
86,232,11
87,482,20
88,502,15
89,487,22
90,352,22
91,323,23
92,1138,42
93,1119,40
94,1074,58
95,1146,60
96,1222,73
97,852,54
98,926,67
99,1661,114
100,2210,133
101,1930,141
102,1781,115
103,1089,68
104,1442,99
105,1261,105
106,1832,204
107,3058,204
108,2105,188
109,3257,217
110,2917,206
111,2055,115
112,1927,113
113,2498,166
114,2678,165
115,3735,407
116,3503,357
117,5514,346
118,3379,189
119,4613,338
120,5385,474
121,6276,449
122,7218,435
123,6209,428
124,4970,421
125,4588,275
126,6633,296
127,6935,600
128,10503,615
129,9888,610
130,10222,751
131,10611,730
132,6760,496
133,5632,396
