data,new_cases,new_deaths
0,27,0
1,0,0
2,0,0
3,17,0
4,0,0
5,15,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,1
12,0,0
13,0,0
14,0,0
15,0,1
16,0,0
17,4,0
18,17,0
19,136,1
20,19,0
21,151,3
22,140,11
23,97,0
24,259,9
25,441,15
26,665,15
27,787,25
28,1753,25
29,1466,26
30,1740,38
31,1980,43
32,2095,46
33,2590,45
34,2812,57
35,3237,65
36,3872,66
37,3727,72
38,3160,73
39,3418,86
40,2607,89
41,2974,97
42,2490,108
43,2028,97
44,15141,254
45,4156,13
46,2538,143
47,2007,142
48,2052,105
49,1890,98
50,1750,139
51,394,112
52,891,118
53,826,109
54,647,98
55,218,150
56,515,70
57,410,52
58,439,29
59,329,44
60,428,47
61,574,35
62,205,42
63,127,32
64,119,37
65,117,31
66,170,30
67,101,28
68,46,27
69,45,23
70,20,17
71,29,22
72,24,11
73,22,7
74,19,15
75,22,9
76,25,13
77,43,9
78,23,16
79,44,8
80,99,4
81,52,6
82,65,6
83,138,9
84,69,7
85,78,4
86,102,6
87,94,5
88,119,3
89,113,5
90,98,2
91,84,3
92,54,1
93,100,6
94,70,10
95,62,4
96,48,3
97,67,2
98,56,0
99,86,2
100,86,2
101,55,1
102,79,3
103,93,0
104,112,2
105,94,0
106,49,1
107,50,0
108,352,1290
109,31,0
110,18,0
111,14,0
112,32,0
113,15,0
114,12,0
115,8,0
116,15,0
117,10,0
118,3,1
119,26,0
120,2,0
121,4,0
122,12,0
123,3,0
124,2,0
125,3,0
126,2,0
127,2,0
128,2,0
129,6,0
130,0,0
131,15,0
132,19,0
133,1,0
134,7,0
