data,new_cases,new_deaths
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,3,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,14,0
54,62,2
55,53,0
56,97,4
57,93,5
58,78,1
59,250,5
60,238,4
61,240,8
62,561,6
63,347,17
64,466,28
65,587,27
66,769,41
67,778,49
68,1247,36
69,1492,133
70,1797,98
71,977,167
72,2313,196
73,2651,189
74,2547,252
75,3497,173
76,2823,370
77,4000,347
78,3526,347
79,4207,473
80,5322,429
81,5986,625
82,6557,795
83,5560,649
84,4789,601
85,5249,743
86,5210,685
87,6153,660
88,5959,971
89,5974,887
90,5217,758
91,4050,810
92,4053,839
93,4782,727
94,4668,760
95,4585,764
96,4805,681
97,4316,527
98,3599,636
99,3039,604
100,3836,540
101,4204,612
102,3951,570
103,4694,619
104,4092,431
105,3153,564
106,2972,604
107,2667,578
108,3786,525
109,3493,575
110,3491,480
111,3047,433
112,2256,454
113,2729,534
114,3370,437
115,2646,464
116,3021,420
117,2357,415
118,2324,260
119,1739,333
120,2091,382
121,2086,323
122,1872,285
123,1965,269
124,1900,474
125,1389,174
126,1221,195
127,1075,236
128,1444,369
129,1401,274
130,1327,243
131,1083,194
132,802,165
133,744,179
