data,new_cases,new_deaths
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,2,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,1,0
39,0,0
40,1,0
41,0,0
42,4,0
43,0,0
44,1,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,4,0
56,0,0
57,0,0
58,0,0
59,3,0
60,2,0
61,5,0
62,13,0
63,4,0
64,11,0
65,34,0
66,30,0
67,48,1
68,43,1
69,67,0
70,48,1
71,52,4
72,83,0
73,134,2
74,117,1
75,433,18
76,251,15
77,152,22
78,407,16
79,680,34
80,647,43
81,706,36
82,1035,56
83,665,35
84,967,74
85,1427,149
86,1452,186
87,2129,183
88,2885,284
89,2546,294
90,2433,214
91,2619,374
92,3009,382
93,4324,670
94,4244,652
95,4450,714
96,3735,760
97,5903,644
98,3802,568
99,3634,1038
100,5491,1034
101,4344,1103
102,5195,1152
103,8719,839
104,5288,686
105,4342,744
106,5252,1044
107,4603,842
108,4617,1029
109,5599,935
110,5525,1115
111,5850,498
112,4676,559
113,4301,1172
114,4451,837
115,4583,727
116,5386,1005
117,4913,843
118,4463,420
119,4309,338
120,3996,909
121,4076,795
122,6032,674
123,6201,739
124,4806,621
125,4339,315
126,3985,288
127,4406,693
128,6211,649
129,5514,539
130,4649,626
131,3896,346
132,3923,268
133,3877,210
