data,new_cases,new_deaths
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,1,0
22,0,0
23,0,0
24,0,0
25,1,0
26,0,0
27,3,0
28,0,0
29,0,0
30,0,0
31,1,0
32,1,0
33,1,0
34,3,0
35,0,0
36,0,0
37,1,0
38,0,0
39,0,0
40,0,0
41,0,0
42,1,0
43,0,0
44,1,0
45,1,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,1,0
53,19,0
54,0,0
55,0,0
56,18,0
57,0,0
58,6,0
59,1,0
60,6,0
61,3,1
62,20,1
63,14,4
64,22,3
65,34,2
66,74,1
67,105,2
68,95,3
69,121,4
70,200,5
71,271,2
72,287,2
73,351,10
74,511,7
75,777,10
76,823,12
77,887,16
78,1766,23
79,2988,42
80,4835,0
81,5374,110
82,7123,80
83,8459,131
84,11236,119
85,8789,211
86,13963,249
87,16797,246
88,18695,411
89,19979,484
90,18360,318
91,21595,661
92,24998,909
93,27103,1059
94,28819,915
95,32425,1104
96,34272,1344
97,25398,1146
98,30561,1342
99,30613,1906
100,33323,1922
101,33901,1873
102,35527,2087
103,28391,1831
104,27620,1500
105,25023,1541
106,26922,2408
107,30148,4928
108,31667,2299
109,30833,3770
110,32922,1856
111,24601,1772
112,28065,1857
113,37289,2524
114,17588,1721
115,26543,3179
116,21352,1054
117,48529,2172
118,26857,1687
119,22541,1369
120,24132,2110
121,27326,2611
122,29917,2040
123,33955,2062
124,29288,1317
125,24972,1297
126,22593,1252
127,23841,2144
128,24128,2353
129,28369,2239
130,26957,1510
131,25612,1614
132,20258,734
133,18117,1156
134,22048,1703
135,20782,1746
136,27143,1773
137,25508,1662
138,24487,1186
139,18873,808
140,21841,791
141,19970,1568
